status,split_mode,scene_count,boundary_count,word_count,passA_path,out_path,text_json_path,error
FALSE,,,,,/home/mytruelove/Desktop/burdens_of_a_forgotten_past/EngAIn/scratch/gameproof_003/output/chapterroom_real/out_passA_scene_text.json,,,ValueError: No plausible chapter text found. Best string field was raw_text with only 29 words.
FALSE,,,,,/home/mytruelove/Desktop/burdens_of_a_forgotten_past/EngAIn/scratch/gameproof_003/output/out_passA_scene_text.json,,,ValueError: No plausible chapter text found. Best string field was raw_text with only 29 words.
FALSE,,,,,/home/mytruelove/Desktop/burdens_of_a_forgotten_past/EngAIn/tier3/mettaext/stageroom/output/chapterroom/out_passA_chapter.999_abc_smoke.json,,,ValueError: No plausible chapter text found. Best string field was raw_text with only 43 words.
FALSE,,,,,/home/mytruelove/Desktop/burdens_of_a_forgotten_past/EngAIn/tier3/mettaext/stageroom/proof/abc_smoke/out_passA_chapter.999_abc_smoke.json,,,ValueError: No plausible chapter text found. Best string field was raw_text with only 43 words.
